condition,formula,point_role,relative_to_proxy_t_ana,short_grid_index,time,echo_real,echo_imaginary,echo_imag_hartree,state_error,diagonal_signal,cancellation_index,pf_state_norm,exact_state_norm,pf_action_seconds,hamiltonian_evolution_seconds,proxy_point_seconds
N2_active_stretch150_sto3g,current_m3,selection_diagnostic,0.05,,0.047544143781706835,0.9999999999999278,-9.480027873820518e-12,-1.9939422860041218e-10,9.368239971406359e-11,9.480027873820518e-12,0.10119326471947086,0.9999999999999275,1.0000000000000002,0.16691339807584882,0.005101355956867337,0.1727888318710029
N2_active_stretch150_sto3g,current_m3,model_training,0.1,,0.09508828756341367,0.999999999999933,-3.050010244365353e-10,-3.2075561801776312e-09,2.996264847530323e-09,3.050010244365353e-10,0.10179374653343246,0.999999999999933,1.0,0.16504952288232744,0.005294205853715539,0.17082914686761796
N2_active_stretch150_sto3g,current_m3,model_training,0.2,,0.19017657512682734,0.9999999999999252,-9.966206748757145e-09,-5.2405017506024365e-08,9.567832668597692e-08,9.966206748757145e-09,0.10416368151448703,0.9999999999999297,1.0,0.16528931190259755,0.005666594952344894,0.17146023595705628
N2_active_stretch150_sto3g,current_m3,model_training,0.3,,0.285264862690241,0.9999999999996703,-7.816015973327595e-08,-2.7399154244295166e-07,7.239681006142694e-07,7.816015973327595e-08,0.10796077847485122,0.9999999999999319,1.0000000000000002,0.19844544189982116,0.007051581051200628,0.20610863203182817
N2_active_stretch150_sto3g,current_m3,selection_diagnostic,0.5,,0.4754414378170683,0.9999999999576062,-1.0939231983031483e-06,-2.3008579212736776e-06,9.200659744223149e-06,1.0939231983031483e-06,0.11889616926546967,0.9999999999999323,1.0,0.1644922939594835,0.007139120949432254,0.17212902288883924
N2_active_stretch150_sto3g,yoshida4,proxy_scale_fit,,0,0.02,0.9999999999999684,-2.6843333111870038e-11,-1.342166655593502e-09,7.588879783977605e-11,2.6843333111870038e-11,0.3537193087251737,0.9999999999999681,1.0000000000000002,0.07833232800476253,0.004299577791243792,0.0828743358142674
N2_active_stretch150_sto3g,yoshida4,proxy_scale_fit,,1,0.02292183941538839,0.9999999999999754,-5.3077403583401406e-11,-2.31558221055193e-09,1.5005621874281207e-10,5.3077403583401406e-11,0.3537167871354475,0.9999999999999751,1.0,0.07885328610427678,0.004514717031270266,0.0836214330047369
N2_active_stretch150_sto3g,yoshida4,proxy_scale_fit,,2,0.026270536109242643,0.9999999999999706,-1.0494839719488169e-10,-3.994908849917158e-09,2.967043580615804e-10,1.0494839719488169e-10,0.3537137030292621,0.9999999999999704,1.0,0.07932160492055118,0.004539347952231765,0.08411279204301536
N2_active_stretch150_sto3g,yoshida4,proxy_scale_fit,,3,0.030108450502611094,0.9999999999999735,-2.0750641482880638e-10,-6.891965922019495e-09,5.866581210946929e-10,2.0750641482880638e-10,0.3537092684263935,0.9999999999999734,1.0000000000000002,0.07908050599507987,0.004534986801445484,0.08386945212259889
N2_active_stretch150_sto3g,yoshida4,proxy_scale_fit,,4,0.034507053373351075,0.9999999999999704,-4.102738704325759e-10,-1.1889565475023145e-08,1.159938364046499e-09,4.102738704325759e-10,0.35370316488310327,0.9999999999999704,1.0,0.07957260496914387,0.00455095712095499,0.08437739103101194
