system_id,formula_id,state_id,sign,time_hartree_inverse,auxiliary_fit_a4,auxiliary_fit_a6,scaled_design_condition_number,fhat_approx_hartree,g_approx_hartree,g_exact_hartree,delta_direct_hartree,E_fit_signed_hartree,E_state_signed_hartree,E_proxy_signed_hartree,E_total_signed_hartree,closure_residual_hartree,closure_over_target_error
two_level_commuting,current_m3,exact_ground,-1,-0.4,-1.2026698964401792e-14,4.312279830303123e-15,17.3589273424777,-2.9022039530376434e-16,-2.943923360032078e-16,-2.943923360032078e-16,0.0,4.171940699443445e-18,0.0,-2.943923360032078e-16,-2.9022039530376434e-16,0.0,0.0
two_level_commuting,current_m3,exact_ground,1,0.05,-1.2026698964401792e-14,4.312279830303123e-15,17.3589273424777,-7.509948915516272e-20,-5.887846720064157e-16,-5.887846720064157e-16,0.0,5.887095725172605e-16,0.0,-5.887846720064157e-16,-7.509948915516272e-20,3.3703774026776627e-34,2.1149455239542688e-30
two_level_commuting,current_m3,exact_ground,1,0.08,-1.2026698964401792e-14,4.312279830303123e-15,17.3589273424777,-4.914831512980623e-19,-1.226634733346703e-16,-1.226634733346703e-16,1.1102230246251565e-15,1.2217199018337223e-16,0.0,-1.2328864979598269e-15,-1.1107145077764546e-15,0.0,0.0
two_level_commuting,current_m3,exact_ground,1,0.12,-1.2026698964401792e-14,4.312279830303123e-15,17.3589273424777,-2.480979898681547e-18,-2.0543252740130517e-31,-2.0543252740130517e-31,2.220446049250313e-16,-2.4809798986813418e-18,0.0,-2.220446049250315e-16,-2.2452558482371284e-16,0.0,0.0
two_level_commuting,current_m3,exact_ground,1,0.18,-1.2026698964401792e-14,4.312279830303123e-15,17.3589273424777,-1.247847727733147e-17,-2.1806839703941326e-16,-2.1806839703941326e-16,-2.220446049250313e-16,2.055899197620818e-16,0.0,3.976207885618048e-18,2.0956612764769984e-16,0.0,0.0
two_level_commuting,current_m3,exact_ground,1,0.27,-1.2026698964401792e-14,4.312279830303123e-15,17.3589273424777,-6.224414368284566e-17,-9.130334551169117e-32,-9.130334551169117e-32,-2.220446049250313e-16,-6.224414368284557e-17,0.0,2.220446049250312e-16,1.5980046124218566e-16,-2.465190328815662e-32,1.5469315832351221e-28
two_level_commuting,current_m3,exact_ground,1,0.4,-1.2026698964401792e-14,4.312279830303123e-15,17.3589273424777,-2.9022039530376434e-16,-2.9439233600320783e-16,-2.9439233600320783e-16,0.0,4.1719406994434945e-18,0.0,-2.9439233600320783e-16,-2.9022039530376434e-16,0.0,0.0
two_level_commuting,current_m3,real_q001,-1,-0.05,-3.623464275768748e-14,1.6199139233329616e-13,17.3589273424777,-2.2393540173033904e-19,-5.770089785662875e-16,-5.887846720064155e-16,0.0,5.767850431645571e-16,1.1775693440127994e-17,-5.887846720064155e-16,-2.2393540173033904e-19,-4.8148248609680896e-32,3.021350748506098e-28
two_level_commuting,current_m3,real_q001,-1,-0.08,-3.623464275768748e-14,1.6199139233329616e-13,17.3589273424777,-1.4417058958030596e-18,-1.4461992685994835e-16,-1.2266347333466968e-16,1.1102230246251565e-15,1.431782209641453e-16,-2.1956453525278662e-17,-1.2328864979598263e-15,-1.1116647305209595e-15,-1.9721522630525295e-31,1.2375452665880977e-27
two_level_commuting,current_m3,real_q001,-1,-0.12,-3.623464275768748e-14,1.6199139233329616e-13,17.3589273424777,-7.02991181658913e-18,-6.509259464525828e-17,2.0543252740130517e-31,2.220446049250313e-16,5.806268282866914e-17,-6.509259464525849e-17,-2.220446049250311e-16,-2.2907451674162045e-16,0.0,0.0
two_level_commuting,current_m3,real_q001,-1,-0.18,-3.623464275768748e-14,1.6199139233329616e-13,17.3589273424777,-3.252799105919805e-17,-2.571020921954639e-16,-2.1806839703941319e-16,-2.220446049250313e-16,2.2457410113626585e-16,-3.9033695156050705e-17,3.976207885618122e-18,1.8951661386583327e-16,0.0,0.0
two_level_commuting,current_m3,real_q001,-1,-0.27,-3.623464275768748e-14,1.6199139233329616e-13,17.3589273424777,-1.298069633863255e-16,-5.786008412911846e-17,9.130334551169117e-32,-2.220446049250313e-16,-7.194687925720704e-17,-5.786008412911854e-17,2.220446049250314e-16,9.223764153870581e-17,0.0,0.0
two_level_commuting,current_m3,real_q001,-1,-0.4,-3.623464275768748e-14,1.6199139233329616e-13,17.3589273424777,-2.640901115996183e-16,-2.6897671088956613e-16,-2.943923360032078e-16,0.0,4.886599289947815e-18,2.541562511364165e-17,-2.943923360032078e-16,-2.640901115996183e-16,0.0,0.0
