system,formula,window_size,order_tolerance,minimum_r2,qualified,eligible_window_count,selected_start_index,selected_t_start,selected_t_stop,selected_free_order,selected_fixed_order_alpha,selected_analytic_time
H4,current_m3,5,0.3,0.999,True,30,0,0.02,0.034507053373351075,4.003549623274697,1.2860800430169918e-05,1.254686821311208
H4,current_m3,6,0.1,0.995,True,27,0,0.02,0.039548256806109475,4.002880353058601,1.2862543691277976e-05,1.2546443072105022
H4,current_m3,6,0.1,0.999,True,27,0,0.02,0.039548256806109475,4.002880353058601,1.2862543691277976e-05,1.2546443072105022
H4,current_m3,6,0.2,0.995,True,29,0,0.02,0.039548256806109475,4.002880353058601,1.2862543691277976e-05,1.2546443072105022
H4,current_m3,6,0.2,0.999,True,29,0,0.02,0.039548256806109475,4.002880353058601,1.2862543691277976e-05,1.2546443072105022
H4,current_m3,6,0.3,0.995,True,29,0,0.02,0.039548256806109475,4.002880353058601,1.2862543691277976e-05,1.2546443072105022
H4,current_m3,6,0.3,0.999,True,29,0,0.02,0.039548256806109475,4.002880353058601,1.2862543691277976e-05,1.2546443072105022
H4,two_term_center,4,0.1,0.995,True,30,0,0.02,0.030108450502611094,4.002712754254829,2.1872258137272273e-05,1.0986995089943323
H4,two_term_center,4,0.1,0.999,True,30,0,0.02,0.030108450502611094,4.002712754254829,2.1872258137272273e-05,1.0986995089943323
H4,two_term_center,4,0.2,0.995,True,31,0,0.02,0.030108450502611094,4.002712754254829,2.1872258137272273e-05,1.0986995089943323
H4,two_term_center,4,0.2,0.999,True,31,0,0.02,0.030108450502611094,4.002712754254829,2.1872258137272273e-05,1.0986995089943323
H4,two_term_center,4,0.3,0.995,True,31,0,0.02,0.030108450502611094,4.002712754254829,2.1872258137272273e-05,1.0986995089943323
H4,two_term_center,4,0.3,0.999,True,31,0,0.02,0.030108450502611094,4.002712754254829,2.1872258137272273e-05,1.0986995089943323
H4,two_term_center,5,0.1,0.995,True,29,0,0.02,0.034507053373351075,4.002224154026729,2.1874846395524276e-05,1.098667007688895
H4,two_term_center,5,0.1,0.999,True,29,0,0.02,0.034507053373351075,4.002224154026729,2.1874846395524276e-05,1.098667007688895
H4,two_term_center,5,0.2,0.995,True,30,0,0.02,0.034507053373351075,4.002224154026729,2.1874846395524276e-05,1.098667007688895
