system,formula,time_hartree_inverse,selection_rules_agree,ground_overlap_probability,previous_overlap_probability,phase_gap_radians
H2,yoshida4,5.619550036361518,False,0.47253244665102384,0.9999990095793195,0.32900892694199513
H2,yoshida4,5.61977728441935,False,0.4725505596866686,0.999999999670925,0.3287848666808339
H2,yoshida4,5.619777284419353,False,0.47255055968666876,1.0,0.3287848666808313
H2,yoshida4,5.649964408741218,False,0.47514180040937076,0.9999932670494398,0.2990766057594119
H2,yoshida4,5.679975305569706,False,0.47808392377709,0.9999913249303223,0.269665055334559
H2,yoshida4,5.680204997155043,False,0.47810785601445077,0.999999999426147,0.2694404801626397
H2,yoshida4,5.6802049971550455,False,0.47810785601445127,1.0,0.26944048016263666
H2,yoshida4,5.693271827269997,False,0.47950484670089116,0.9999980449043283,0.2566789550751905
H2,yoshida4,5.736579245798775,False,0.48463684920939043,0.9999736286405907,0.21460213419200302
H2,yoshida4,5.740400574777895,False,0.4851269454272325,0.9999997595859043,0.21090700048254926
H2,yoshida4,5.740632709890734,False,0.4851569131102115,0.9999999991011446,0.21068262952381775
H2,yoshida4,5.740632709890737,False,0.4851569131102118,0.9999999999999996,0.2106826295238151
H2,yoshida4,5.779886664327554,False,0.49054841850673975,0.9999709145018993,0.1729126338634126
H2,yoshida4,5.8008258439860825,False,0.493689744046944,0.9999901296216743,0.15291489641324452
H2,yoshida4,5.801060422626427,False,0.493725989160692,0.9999999986860844,0.15269149810290505
H2,yoshida4,5.8010604226264295,False,0.49372598916069216,1.0000000000000004,0.15269149810290195
H2,yoshida4,5.823194082856332,False,0.49725144497598084,0.9999875701494085,0.13167902024085043
H2,yoshida4,5.861251113194271,True,0.503805183090995,0.999957048468763,0.09587682304110867
H2,yoshida4,5.861488135362118,True,0.5038479642632027,0.9999999981696641,0.09565522219288702
H2,yoshida4,5.861488135362121,True,0.5038479642632034,1.0,0.09565522219288303
H2,yoshida4,5.866501501385112,True,0.5047585741960849,0.9999991707281238,0.09097220911325898
H2,yoshida4,5.90980891991389,True,0.5130825675943997,0.999930689070267,0.050865706428445005
H2,yoshida4,5.92167638240246,True,0.5155078013380971,0.9999941134295237,0.039990201074890486
H2,yoshida4,5.921915848097811,True,0.515557380966228,0.9999999975394862,0.03977128531249008
H2,yoshida4,5.921915848097814,True,0.5155573809662293,1.0000000000000004,0.0397712853124883
