system_id,formula_id,state_id,requested_grouped_term_count,selected_grouped_term_count,selected_fraction,approximate_expectation_real_hartree,full_expectation_real_hartree,expectation_relative_error,action_relative_error,expectation_sign_matches_full,selected_importance_score_fraction,selected_actual_absolute_contribution_fraction,dropped_signed_expectation_real_hartree,selected_linear_combination_action_count,selected_equivalent_fragment_action_count,analytic_time_from_truncated_expectation,analytic_cost_from_truncated_expectation,accuracy_worsened_from_previous_count
H2,yoshida4,cisd,2,2,0.4,-0.0017185049481885815,-0.0010021771722412858,0.7147715950716461,1.2862013148998241,True,0.6689365926096393,0.6579395954652257,0.0007163277759472957,92,100,0.3690325204359831,1105272.5096371493,False
H2,yoshida4,cisd,3,3,0.6,-0.0017185049481885815,-0.0010021771722412858,0.7147715950716461,0.960966662892294,True,0.8189456413799735,0.6579395954652257,0.0007163277759472957,138,152,0.3690325204359831,1105272.5096371493,False
H2,yoshida4,cisd,4,4,0.8,-0.0009136188217116073,-0.0010021771722412858,0.08836596260881209,0.08384707617498786,True,0.9350628501107708,0.9660949214117884,-8.85583505296785e-05,166,184,0.4321764289573921,943784.6968748365,False
H2,yoshida4,cisd,5,5,1.0,-0.0010021771722412858,-0.0010021771722412858,0.0,2.9918916788386613e-49,True,1.0,1.0,0.0,212,238,0.4222952627657648,965868.0453307428,False
H2,current_m3,exact,1,1,0.2,3.22931311140702e-21,-2.7384116611797605e-06,1.0000000000000013,0.39199879986788716,False,0.45080691816121704,4.52714564345552e-16,-2.738411661179764e-06,46,52,9967.237279296316,84.99230792465002,False
H2,current_m3,exact,2,2,0.4,3.282252670610414e-21,-2.7384116611797605e-06,1.0000000000000013,0.23944283921530296,False,0.6910628457123058,5.288350042094569e-16,-2.738411661179764e-06,92,104,9926.801406072394,85.33851593744933,False
H2,current_m3,exact,3,3,0.6,-4.695750532204019e-06,-2.7384116611797605e-06,0.7147715950716478,0.1377688520995618,True,0.9016139452878211,0.6579395954652257,1.957338871024258e-06,138,152,1.6140838125002743,524841.7048974397,False
H2,current_m3,exact,4,4,0.8,-2.4964292787204134e-06,-2.7384116611797605e-06,0.08836596260881258,0.012020724425304309,True,0.9647127523990577,0.9660949214117883,-2.4198238245934704e-07,166,184,1.8902642436503383,448158.7708415159,False
H2,current_m3,exact,5,5,1.0,-2.7384116611797605e-06,-2.7384116611797605e-06,7.732885446534564e-17,3.949091762796006e-17,True,1.0,1.0,0.0,212,238,1.8470457479478775,458645.1098686643,False
H2,current_m3,hf,1,1,0.2,-4.599202858572186e-06,-9.91334455645084e-06,0.5360594164378782,0.3919987998678872,True,0.45080691816121704,0.2942288207894229,-5.314141697878654e-06,46,52,1.6224887521202744,522122.8799848132,False
H2,current_m3,hf,2,2,0.4,-5.843489964939405e-06,-9.91334455645084e-06,0.41054303805702863,0.23944283921530302,True,0.6910628457123058,0.37383068643610734,-4.069854591511435e-06,92,104,1.5282143045501335,554332.267063407,False
H2,current_m3,hf,3,3,0.6,-1.2514532718864297e-05,-9.91334455645084e-06,0.2623925908759828,0.13776885209956186,True,0.9016139452878211,0.8006031301139879,2.601188162413457e-06,138,152,1.2632772543258513,670587.9466278204,False
H2,current_m3,hf,4,4,0.8,-9.655514395753628e-06,-9.91334455645084e-06,0.026008392952450738,0.012020724425304352,True,0.9647127523990577,0.9835056059759366,-2.578301606972119e-07,166,184,1.3479025105463296,628486.4768570263,False
H2,current_m3,hf,5,5,1.0,-9.91334455645084e-06,-9.91334455645084e-06,0.0,1.5796367051184026e-16,True,1.0,1.0,0.0,212,238,1.3390515170340593,632640.7081606376,False
H2,current_m3,cisd,1,1,0.2,0.0,-2.738411661179766e-06,1.0,0.39199879986788727,False,0.45080691816121704,0.0,-2.738411661179766e-06,46,52,inf,inf,False
H2,current_m3,cisd,2,2,0.4,1.2705494208814505e-21,-2.738411661179766e-06,1.0000000000000004,0.239442839215303,False,0.6910628457123058,1.3351615991846898e-16,-2.7384116611797672e-06,92,104,12585.035515701182,67.31315926308729,False
H2,current_m3,cisd,3,3,0.6,-4.695750532204026e-06,-2.738411661179766e-06,0.7147715950716471,0.13776885209956177,True,0.9016139452878211,0.6579395954652257,1.9573388710242603e-06,138,152,1.6140838125002737,524841.7048974399,False
H2,current_m3,cisd,4,4,0.8,-2.496429278720421e-06,-2.738411661179766e-06,0.08836596260881162,0.012020724425304271,True,0.9647127523990577,0.9660949214117883,-2.419823824593449e-07,166,184,1.890264243650337,448158.77084151626,False
H2,current_m3,cisd,5,5,1.0,-2.7384116611797677e-06,-2.738411661179766e-06,6.186308357227638e-16,7.89818352559201e-17,True,1.0,1.0,1.6940658945086007e-21,212,238,1.8470457479478763,458645.1098686645,False
H2,two_term_center,exact,1,1,0.2,-7.984055767376623e-06,-4.656046198994233e-06,0.7147715950716476,0.33563167272956396,True,0.4198732797270079,0.6579395954652256,3.3280095683823898e-06,46,48,1.4135020597959376,599318.9002655587,False
