condition,formula,effective_order,geometric_mean_time,left_time,right_time,roundoff_risk,sign_reversal,tau__lambda_h_sector_centered_half_width,tau__lambda_group_half_width_sum,tau__lambda_pauli_nonidentity_l1,diagnosis
active_equilibrium,yoshida4,3.9999246773538957,0.010606601717798213,0.0075,0.015,True,False,0.03145497357617177,0.19593425402284742,0.36210005114515365,direct_small_time_values_reach_numerical_floor
active_equilibrium,yoshida4,3.9997935273109717,0.021213203435596427,0.015,0.03,False,False,0.06290994715234353,0.39186850804569484,0.7242001022903073,direct_small_time_values_reach_numerical_floor
active_equilibrium,yoshida4,3.999168401131851,0.042426406871192854,0.03,0.06,False,False,0.12581989430468707,0.7837370160913897,1.4484002045806146,direct_small_time_values_reach_numerical_floor
active_equilibrium,yoshida6_m3,2.6629650127224442,0.010606601717798213,0.0075,0.015,True,False,0.03145497357617177,0.19593425402284742,0.36210005114515365,sign_reversal_or_cancellation_on_direct_ladder
active_equilibrium,yoshida6_m3,4.67391342363089,0.021213203435596427,0.015,0.03,True,True,0.06290994715234353,0.39186850804569484,0.7242001022903073,sign_reversal_or_cancellation_on_direct_ladder
active_equilibrium,yoshida6_m3,5.94199445615237,0.042426406871192854,0.03,0.06,True,False,0.12581989430468707,0.7837370160913897,1.4484002045806146,sign_reversal_or_cancellation_on_direct_ladder
active_stretch150,joint_refine_r0_s0046,4.020976717225649,0.010606601717798213,0.0075,0.015,True,False,0.02055512608950015,0.20513000054199157,0.3704165508588334,direct_small_time_values_reach_numerical_floor
active_stretch150,joint_refine_r0_s0046,4.005113402086941,0.021213203435596427,0.015,0.03,True,False,0.0411102521790003,0.41026000108398314,0.7408331017176668,direct_small_time_values_reach_numerical_floor
active_stretch150,joint_refine_r0_s0046,3.9997343245690886,0.042426406871192854,0.03,0.06,False,False,0.0822205043580006,0.8205200021679663,1.4816662034353336,direct_small_time_values_reach_numerical_floor
active_stretch150,m5_best,1.834576390792671,0.010606601717798213,0.0075,0.015,True,True,0.02055512608950015,0.20513000054199157,0.3704165508588334,sign_reversal_or_cancellation_on_direct_ladder
active_stretch150,m5_best,3.7393232146946502,0.021213203435596427,0.015,0.03,True,False,0.0411102521790003,0.41026000108398314,0.7408331017176668,sign_reversal_or_cancellation_on_direct_ladder
active_stretch150,m5_best,4.074937297110142,0.042426406871192854,0.03,0.06,True,False,0.0822205043580006,0.8205200021679663,1.4816662034353336,sign_reversal_or_cancellation_on_direct_ladder
